Discount_Amount,Session_Duration_Minutes,Pages_Viewed,Delivery_Time_Days,Customer_Rating
-0.3712521782741348,-0.49054849801535955,-1.435507649733147,-0.7331972150067604,3
-0.3712521782741348,-0.22194671135415073,-0.3387496733299439,0.9459876764627853,4
1.0327281968815127,0.44955775529887126,1.12359429520766,1.9534986113445127,4
-0.3712521782741348,0.046655075307058064,-1.435507649733147,-0.06152325841894209,4
-0.3712521782741348,-0.7591502846765683,0.7580083030732591,-0.3973602367128512,5
-0.3712521782741348,-1.296353857998986,-1.0699216575987458,1.2818246547566945,5
-0.3712521782741348,0.71815954196008,-0.7043356654643449,-0.3973602367128512,3
0.16549861285961984,-0.35624760468475514,-0.3387496733299439,-0.06152325841894209,4
-0.3712521782741348,-1.4306547513295904,1.489180287342061,-0.3973602367128512,5
-0.3712521782741348,-1.296353857998986,0.3924223109388581,1.6176616330506035,4
-0.3712521782741348,0.18095596863766245,0.026836318804457134,-1.0690341933006695,5
-0.3712521782741348,1.389664008613102,1.12359429520766,-0.06152325841894209,4
-0.3712521782741348,-0.7591502846765683,-0.3387496733299439,-0.7331972150067604,2
-0.3712521782741348,-0.22194671135415073,1.12359429520766,-0.06152325841894209,4
2.918009901276932,-0.624849391345964,-1.0699216575987458,-1.4048711715945785,4
-0.3712521782741348,0.44955775529887126,2.2203522716108632,-0.7331972150067604,4
-0.3712521782741348,-1.1620529646683815,1.854766279476462,-0.7331972150067604,5
-0.3712521782741348,1.5239649019437065,0.3924223109388581,-1.0690341933006695,4
-0.3712521782741348,-1.296353857998986,1.489180287342061,-0.06152325841894209,3
-0.3712521782741348,-0.624849391345964,0.3924223109388581,0.9459876764627853,3
-0.3712521782741348,-0.22194671135415073,1.489180287342061,1.2818246547566945,5
1.3765148606242068,-0.49054849801535955,-0.3387496733299439,-0.7331972150067604,5
-0.3712521782741348,-0.8934511780071728,-0.3387496733299439,-0.7331972150067604,5
-0.3712521782741348,-0.08764581802354633,-0.3387496733299439,-0.7331972150067604,5
